"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"Wisconsin",40,36,54.8,12.4,15.8,32.1,23.7,36.2,54.8,36.5,2015,"FINALISTA"
"Duke",39,35,56.6,16.3,18.6,35.8,30.2,39.8,55.9,38.7,2015,"FINALISTA"
"Arizona",38,34,53.5,16.5,20.6,34.5,22.4,47.1,53.3,36,2015,"FINALISTA"
"Gonzaga",37,34,57.9,16.1,17.1,33.9,28,38.7,57,40,2015,"FINALISTA"
"Louisville",36,27,47.7,17.2,21.3,34.7,30.8,38.7,48.4,30.7,2015,"FINALISTA"
"Notre Dame",38,32,58.3,14.5,17.3,27.9,32.2,36.7,58.2,39,2015,"FINALISTA"
"Kentucky",39,38,51.5,16.3,21.3,39.5,31.8,43.9,51.2,34.9,2015,"FINALISTA"
"Michigan St.",39,27,53.2,17.5,16.5,33.5,27,32.7,50.8,38.5,2015,"FINALISTA"
"Abilene Christian",28,7,47.3,19.8,20.8,24.1,33.9,28.3,42,37.8,2015,"NO FINALISTA"
"Air Force",29,12,53.6,19.2,20.2,29.6,32.6,30.8,53.9,35.4,2015,"NO FINALISTA"
"Akron",34,20,49.4,18.8,18.8,33.3,31.5,31.3,46.7,34.9,2015,"NO FINALISTA"
"Alabama",33,18,50.7,18.7,18.9,29.6,32,43.7,52.3,32.2,2015,"NO FINALISTA"
"Alabama A&M",28,8,44.7,21.9,18.3,35.2,36.4,41.6,45.4,29.1,2015,"NO FINALISTA"
"Alabama St.",27,17,48.2,19.7,19.2,36,29.2,34.6,46.4,35.4,2015,"NO FINALISTA"
"Alcorn St.",30,5,43.1,17.2,18.6,30.2,35.9,37.5,43.3,28.4,2015,"NO FINALISTA"
"American",33,17,53.4,19.4,21.8,21.3,31.6,34.4,51.8,37.4,2015,"NO FINALISTA"
"Appalachian St.",29,12,45.6,20.6,17.2,31.4,29.8,33.6,44.5,31.6,2015,"NO FINALISTA"
"Arizona St.",34,18,50.9,20.7,19.1,31.8,25.1,42.1,49.9,35,2015,"NO FINALISTA"
"Arkansas Little Rock",30,12,47.6,15.6,19.9,28.4,31.2,36,45.8,34,2015,"NO FINALISTA"
"Arkansas Pine Bluff",32,12,46.3,23.5,24.9,30.5,39.5,35.6,44.2,33.3,2015,"NO FINALISTA"
"Arkansas St.",28,10,45.3,20,17.6,29.7,32.7,33,44.1,32,2015,"NO FINALISTA"
"Army",29,14,50,19.1,18.9,29.7,31.5,32,51.1,32.2,2015,"NO FINALISTA"
